,Movie Title,Review,Number of RT Reviews,Year,movie_ID,movie_title,year,genres,avg_rating,numVotes,directorID,director_name
0,Chicken Run,97%,171,2000,tt0120630,Chicken Run,2000,"Adventure,Animation,Comedy",7.0,162266.0,"nm0520485,nm0661910",
1,Chicken Run,97%,171,2000,tt0276856,Chicken Run,2000,"Action,Comedy,Family",6.7,120.0,\N,
2,The Taste of Others (Le goût des autres),100%,58,2000,,,,,,,,
3,The Life and Times of Hank Greenberg,97%,65,2000,,,,,,,,
4,Yi Yi,96%,83,2000,tt0244316,Yi Yi,2000,"Drama,Romance",8.1,16786.0,nm0945981,Edward Yang
5,You Can Count On Me,95%,103,2000,,,,,,,,
6,Memento,92%,172,2000,tt0209144,Memento,2000,"Mystery,Thriller",8.5,1019199.0,nm0634240,Christopher Nolan
7,Best in Show,94%,112,2000,tt0218839,Best in Show,2000,Comedy,7.5,50942.0,nm0001302,Christopher Guest
8,Traffic,92%,158,2000,tt0181865,Traffic,2000,"Crime,Drama,Thriller",7.6,185294.0,nm0001752,Steven Soderbergh
9,Croupier,96%,57,2000,,,,,,,,
10,High Fidelity,91%,165,2000,tt0146882,High Fidelity,2000,"Comedy,Drama,Music",7.5,157494.0,nm0001241,Stephen Frears
11,Dark Days,94%,68,2000,tt0235327,Dark Days,2000,Documentary,7.8,6028.0,nm0003786,Marc Singer
12,Not One Less,95%,44,2000,,,,,,,,
13,The Filth and the Fury,95%,40,2000,tt0236216,The Filth and the Fury,2000,"Biography,Documentary,Music",7.7,5288.0,nm0854697,Julien Temple
14,Almost Famous,89%,166,2000,tt0181875,Almost Famous,2000,"Adventure,Comedy,Drama",7.9,233302.0,nm0001081,Cameron Crowe
15,Cast Away,88%,155,2000,tt0162222,Cast Away,2000,"Adventure,Drama,Romance",7.8,467749.0,nm0000709,Robert Zemeckis
16,Panic,91%,56,2000,tt0194218,Panic,2000,"Comedy,Crime,Drama",6.7,7702.0,nm0111303,Henry Bromell
17,Panic,91%,56,2000,tt0629364,Panic,2000,"Crime,Drama,Mystery",7.5,144.0,nm0538744,Constantine Makris
18,The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre),89%,76,2000,,,,,,,,
19,Aimée & Jaguar,90%,48,2000,,,,,,,,
20,Sexy Beast,86%,130,2000,tt0203119,Sexy Beast,2000,"Crime,Drama,Thriller",7.3,49778.0,nm0322242,Jonathan Glazer
21,Exorcist: The Version You've Never Seen,88%,82,2000,,,,,,,,
22,Girlfight,87%,95,2000,tt0210075,Girlfight,2000,"Drama,Sport",6.8,8858.0,nm0476201,Karyn Kusama
23,State and Main,86%,116,2000,tt0120202,State and Main,2000,"Comedy,Drama",6.8,19465.0,nm0000519,David Mamet
24,The Emperor's New Groove,85%,128,2000,tt0120917,The Emperor's New Groove,2000,"Adventure,Animation,Comedy",7.4,158176.0,nm0227540,Mark Dindal
25,The Emperor's New Groove,85%,128,2000,tt0353399,The Emperor's New Groove,2000,"Adventure,Animation",8.0,160.0,nm0034229,Keith Arem
26,Meet the Parents,84%,146,2000,tt0212338,Meet the Parents,2000,"Comedy,Romance",7.0,291237.0,nm0005366,Jay Roach
27,Erin Brockovich,84%,145,2000,tt0195685,Erin Brockovich,2000,"Biography,Drama",7.3,157488.0,nm0001752,Steven Soderbergh
28,Billy Elliot,85%,117,2000,tt0249462,Billy Elliot,2000,"Drama,Music,Romance",7.7,113713.0,nm0197636,Stephen Daldry
29,The Original Kings of Comedy,86%,87,2000,tt0236388,The Original Kings of Comedy,2000,"Comedy,Documentary",6.7,5037.0,nm0000490,Spike Lee
30,Nico and Dani (Krámpack),87%,53,2000,,,,,,,,
31,Battle Royale,87%,45,2000,tt0266308,Battle Royale,2000,"Adventure,Drama,Sci-Fi",7.7,158140.0,nm0297935,Kinji Fukasaku
32,Nurse Betty,83%,131,2000,tt0171580,Nurse Betty,2000,"Comedy,Crime,Drama",6.2,31752.0,nm0001438,Neil LaBute
33,X-Men,81%,171,2000,tt0120903,X-Men,2000,"Action,Adventure,Sci-Fi",7.4,529466.0,nm0001741,Bryan Singer
34,X-Men,81%,171,2000,tt1219444,X-Men,2000,"Animation,Comedy,Drama",5.4,8.0,\N,
35,Thirteen Days,83%,120,2000,tt0146309,Thirteen Days,2000,"Drama,History,Thriller",7.3,50372.0,nm0002044,Roger Donaldson
36,Chunhyangdyun,86%,42,2000,,,,,,,,
37,Shadow of the Vampire,82%,136,2000,tt0189998,Shadow of the Vampire,2000,"Drama,Horror",6.9,37516.0,nm0580729,E. Elias Merhige
38,Chuck & Buck,84%,87,2000,tt0200530,Chuck & Buck,2000,"Comedy,Drama",6.6,4979.0,nm0037708,Miguel Arteta
39,Wonder Boys,82%,125,2000,tt0185014,Wonder Boys,2000,"Comedy,Drama",7.4,58450.0,nm0000436,Curtis Hanson
40,George Washington,84%,61,2000,tt0262432,George Washington,2000,Drama,7.4,7165.0,nm0337773,David Gordon Green
41,Merci pour le chocolat,84%,51,2000,,,,,,,,
42,Ghost Dog - The Way of the Samurai,82%,95,2000,,,,,,,,
43,Love and Basketball,82%,91,2000,,,,,,,,
44,Pollock,81%,108,2000,tt0183659,Pollock,2000,"Biography,Drama",7.0,25488.0,nm0000438,Ed Harris
45,Fantasia 2000,82%,82,2000,,,,,,,,
46,The House of Mirth,81%,97,2000,tt0200720,The House of Mirth,2000,"Drama,Romance",7.1,6816.0,nm0203993,Terence Davies
47,Lakeboat,83%,42,2000,tt0210149,Lakeboat,2000,Drama,6.2,580.0,nm0001505,Joe Mantegna
48,Requiem for a Dream,79%,136,2000,tt0180093,Requiem for a Dream,2000,Drama,8.3,691758.0,nm0004716,Darren Aronofsky
49,Shanghai Noon,79%,134,2000,tt0184894,Shanghai Noon,2000,"Action,Adventure,Comedy",6.6,110929.0,nm0223359,Tom Dey
50,The Vertical Ray of the Sun (Mua he chieu thang dung),82%,55,2000,,,,,,,,
51,Gladiator,76%,194,2000,tt0172495,Gladiator,2000,"Action,Adventure,Drama",8.5,1195014.0,nm0000631,Ridley Scott
52,Gladiator,76%,194,2000,tt0579742,Gladiator,2000,"Adventure,Drama,Sci-Fi",6.6,17.0,nm0660574,Alex Pappas
53,Gladiator,76%,194,2000,tt0594847,Gladiator,2000,"Documentary,Short",8.1,15.0,nm1284039,John Pattyson
54,"O Brother, Where Art Thou?",77%,149,2000,tt0190590,"O Brother, Where Art Thou?",2000,"Adventure,Comedy,Crime",7.8,262411.0,"nm0001053,nm0001054",
55,Space Cowboys,78%,119,2000,tt0186566,Space Cowboys,2000,"Action,Adventure,Thriller",6.4,68014.0,nm0000142,Clint Eastwood
56,The Tao of Steve,80%,49,2000,tt0234853,The Tao of Steve,2000,"Comedy,Drama,Romance",6.7,7129.0,nm0329116,Jenniphr Goodman
57,The Contender,76%,130,2000,tt0208874,The Contender,2000,"Drama,Thriller",7.0,21876.0,nm0527109,Rod Lurie
58,Quills,75%,126,2000,tt0180073,Quills,2000,"Biography,Drama",7.3,48794.0,nm0442241,Philip Kaufman
59,Keep the River on Your Right,78%,50,2000,,,,,,,,
60,The Virgin Suicides,76%,96,2000,,,,,,,,
61,Finding Forrester,74%,127,2000,tt0181536,Finding Forrester,2000,Drama,7.3,78628.0,nm0001814,Gus Van Sant
62,Finding Forrester,74%,127,2000,tt0594838,Finding Forrester,2000,"Documentary,Short",6.4,11.0,\N,
63,Rugrats in Paris - The Movie,76%,74,2000,,,,,,,,
64,Remember the Titans,73%,132,2000,tt0210945,Remember the Titans,2000,"Biography,Drama,Sport",7.8,183054.0,nm0945026,Boaz Yakin
65,Tigerland,76%,46,2000,tt0170691,Tigerland,2000,"Drama,War",7.0,36078.0,nm0001708,Joel Schumacher
66,Sunshine,74%,65,2000,,,,,,,,
67,My Dog Skip,73%,82,2000,tt0156812,My Dog Skip,2000,"Comedy,Drama,Family",7.1,18219.0,nm0751221,Jay Russell
68,The Big Kahuna,73%,78,2000,,,,,,,,
69,Code Unknown (Code inconnu: Récit incomplet de divers voyages),74%,50,2000,,,,,,,,
70,Unbreakable,69%,167,2000,tt0217869,Unbreakable,2000,"Drama,Mystery,Sci-Fi",7.3,340377.0,nm0796117,M. Night Shyamalan
71,Frequency,70%,124,2000,tt0186151,Frequency,2000,"Crime,Drama,Mystery",7.4,93859.0,nm0387706,Gregory Hoblit
72,American Psycho,68%,144,2000,tt0144084,American Psycho,2000,"Crime,Drama",7.6,425083.0,nm0366004,Mary Harron
73,Charlie's Angels,68%,142,2000,tt0160127,Charlie's Angels,2000,"Action,Adventure,Comedy",5.5,161860.0,nm0629334,McG
74,Keeping the Faith,69%,115,2000,tt0171433,Keeping the Faith,2000,"Comedy,Drama,Romance",6.4,47702.0,nm0001570,Edward Norton
75,Gangster No. 1,71%,52,2000,tt0210065,Gangster No. 1,2000,"Crime,Drama,Thriller",6.8,12308.0,nm0006476,Paul McGuigan
76,Shadow Magic,71%,49,2000,tt0238588,Shadow Magic,2000,"Drama,History,Romance",7.2,703.0,nm0398866,Ann Hu
