,Title,Director,Release Date,Revenue,Writers,Rotten Tomatoes Review,Number of RT Reviews,Year,Genres,Average IMDB Rating,Number of IMDB Votes,Popularity,Average TMDB Rating,Number of TMDB Votes,Release Month
0,Chicken Run,"['Peter Lord', 'Nick Park']","Jun 21, 2000","$106,604,314","['Jack Rosenthal', 'Karey Kirkpatrick']",97%,171.0,2000.0,"Adventure,Animation,Comedy",7.0,162266.0,13.991,6.6,2438.0,6.0
3,The Taste of Others,['Agnès Jaoui'],"Jan 1, 2000","

                                112 minutes
                            
","['Jean-Pierre Bacri', 'Agnès Jaoui']",,,,,,,5.907,6.7,97.0,3.0
4,The Life and Times of Hank Greenberg,['Aviva Kempner'],"Jan 12, 2000","

                                89 minutes
                            
",['Aviva Kempner'],97%,65.0,2000.0,,,,0.6,6.0,6.0,1.0
5,Yi Yi,['Edward Yang'],"Oct 6, 2000","

                                173 minutes
                            
",['Edward Yang'],96%,83.0,2000.0,"Drama,Romance",8.1,16786.0,6.59,8.0,156.0,9.0
10956,You Can Count On Me,['Kenneth Lonergan'],"Nov 10, 2000","$8,409,329",['Kenneth Lonergan'],95%,103.0,2000.0,,,,,,,
26,Memento,['Christopher Nolan'],"Sep 5, 2000","$23,844,220",['Christopher Nolan'],92%,172.0,2000.0,"Mystery,Thriller",8.5,1019199.0,14.229,8.2,7520.0,10.0
46,Best in Show,['Christopher Guest'],"Sep 29, 2000","$16,574,225","['Christopher Guest', 'Eugene Levy']",94%,112.0,2000.0,Comedy,7.5,50942.0,7.822,7.1,249.0,9.0
69,Croupier,['Mike Hodges'],"Apr 21, 2000","

                                91 minutes
                            
",['Paul Mayersberg'],96%,57.0,2000.0,,,,4.482,6.9,109.0,6.0
74,Dark Days,['Marc Singer'],"Sep 25, 2001","
                        
                            Picture Farm
                        
                    ",[],94%,68.0,2000.0,Documentary,7.8,6028.0,2.029,7.6,48.0,8.0
84,Not One Less,['Yimou Zhang'],"Feb 18, 2000","

                                106 minutes
                            
","['Xiangsheng Shi', 'Xiangsheng Shi']",95%,44.0,2000.0,,,,3.064,7.6,61.0,9.0
85,The Filth and the Fury,['Julien Temple'],"Oct 10, 2000","
                        
                            WARNER BROTHERS PICTURES
                        
                    ",[],95%,40.0,2000.0,"Biography,Documentary,Music",7.7,5288.0,2.186,7.3,36.0,3.0
86,Almost Famous,['Cameron Crowe'],"Sep 15, 2000","$31,716,715",['Cameron Crowe'],89%,166.0,2000.0,"Adventure,Comedy,Drama",7.9,233302.0,12.649,7.5,1291.0,9.0
90,Cast Away,['Robert Zemeckis'],"Dec 22, 2000","

                                143 minutes
                            
",['William Broyles'],88%,155.0,2000.0,"Adventure,Drama,Romance",7.8,467749.0,17.599,7.6,5761.0,12.0
133,Sexy Beast,['Jonathan Glazer'],"Apr 1, 2000","$5,972,627","['Louis Mellis', 'David Scinto']",86%,130.0,2000.0,"Crime,Drama,Thriller",7.3,49778.0,8.051,7.0,349.0,1.0
135,Girlfight,['Karyn Kusama'],"Sep 29, 2000","$778,046",['Karyn Kusama'],87%,95.0,2000.0,"Drama,Sport",6.8,8858.0,3.973,6.3,91.0,5.0
138,State and Main,['David Mamet'],"Dec 22, 2000","$5,770,800",['David Mamet'],86%,116.0,2000.0,"Comedy,Drama",6.8,19465.0,4.647,6.4,84.0,8.0
141,Meet the Parents,['Jay Roach'],"Oct 6, 2000","$164,454,835","['John Hamburg', 'Jim Herzfeld']",84%,146.0,2000.0,"Comedy,Romance",7.0,291237.0,11.23,6.6,3145.0,10.0
145,Erin Brockovich,['Steven Soderbergh'],"Mar 17, 2000","

                                131 minutes
                            
","['Richard LaGravenese', 'Susannah Grant']",84%,145.0,2000.0,"Biography,Drama",7.3,157488.0,7.519,7.3,1421.0,3.0
