,Movie Title,Review,Number of RT Reviews,Year
0,Chicken Run,97%,171,2000
1,The Taste of Others (Le goût des autres),100%,58,2000
2,The Life and Times of Hank Greenberg,97%,65,2000
3,Yi Yi,96%,83,2000
4,You Can Count On Me,95%,103,2000
5,Memento,92%,172,2000
6,Best in Show,94%,112,2000
7,Traffic,92%,158,2000
8,Croupier,96%,57,2000
9,High Fidelity,91%,165,2000
10,Dark Days,94%,68,2000
11,Not One Less,95%,44,2000
12,The Filth and the Fury,95%,40,2000
13,Almost Famous,89%,166,2000
14,Cast Away,88%,155,2000
15,Panic,91%,56,2000
16,The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre),89%,76,2000
17,Aimée & Jaguar,90%,48,2000
18,Sexy Beast,86%,130,2000
19,Exorcist: The Version You've Never Seen,88%,82,2000
20,Girlfight,87%,95,2000
21,State and Main,86%,116,2000
22,The Emperor's New Groove,85%,128,2000
23,Meet the Parents,84%,146,2000
24,Erin Brockovich,84%,145,2000
25,Billy Elliot,85%,117,2000
26,The Original Kings of Comedy,86%,87,2000
27,Nico and Dani (Krámpack),87%,53,2000
28,Battle Royale,87%,45,2000
29,Nurse Betty,83%,131,2000
30,X-Men,81%,171,2000
31,Thirteen Days,83%,120,2000
32,Chunhyangdyun,86%,42,2000
33,Shadow of the Vampire,82%,136,2000
34,Chuck & Buck,84%,87,2000
35,Wonder Boys,82%,125,2000
36,George Washington,84%,61,2000
37,Merci pour le chocolat,84%,51,2000
38,Ghost Dog - The Way of the Samurai,82%,95,2000
39,Love and Basketball,82%,91,2000
40,Pollock,81%,108,2000
41,Fantasia 2000,82%,82,2000
42,The House of Mirth,81%,97,2000
43,Lakeboat,83%,42,2000
44,Requiem for a Dream,79%,136,2000
45,Shanghai Noon,79%,134,2000
46,The Vertical Ray of the Sun (Mua he chieu thang dung),82%,55,2000
47,Gladiator,76%,194,2000
48,"O Brother, Where Art Thou?",77%,149,2000
49,Space Cowboys,78%,119,2000
50,The Tao of Steve,80%,49,2000
51,The Contender,76%,130,2000
52,Quills,75%,126,2000
53,Keep the River on Your Right,78%,50,2000
54,The Virgin Suicides,76%,96,2000
55,Finding Forrester,74%,127,2000
56,Rugrats in Paris - The Movie,76%,74,2000
57,Remember the Titans,73%,132,2000
58,Tigerland,76%,46,2000
59,Sunshine,74%,65,2000
60,My Dog Skip,73%,82,2000
61,The Big Kahuna,73%,78,2000
62,Code Unknown (Code inconnu: Récit incomplet de divers voyages),74%,50,2000
63,Unbreakable,69%,167,2000
64,Frequency,70%,124,2000
65,American Psycho,68%,144,2000
66,Charlie's Angels,68%,142,2000
67,Keeping the Faith,69%,115,2000
68,Gangster No. 1,71%,52,2000
69,Shadow Magic,71%,49,2000
70,Dancer in the Dark,68%,117,2000
71,U-571,68%,115,2000
72,Shaft,67%,115,2000
73,Grateful Dawg,70%,43,2000
74,Timecode,68%,81,2000
75,About Adam,68%,57,2000
76,Boiler Room,66%,101,2000
77,Small Time Crooks,66%,100,2000
78,Dinosaur,65%,122,2000
79,The Yards,64%,96,2000
80,Bring It On,63%,117,2000
81,Anywhere but Here,64%,89,2000
82,Chocolat,62%,117,2000
83,Saving Grace,63%,89,2000
84,The Patriot,61%,134,2000
85,Der Krieger und die Kaiserin (The Princess and the Warrior),63%,83,2000
86,Return to Me,62%,99,2000
87,Wonderland,63%,70,2000
88,The Claim,62%,85,2000
89,The Tigger Movie,62%,74,2000
90,Pitch Black,59%,109,2000
91,Mission: Impossible 2,57%,148,2000
92,Alice et Martin,61%,44,2000
93,Kikujiro,60%,50,2000
94,The Gift,57%,119,2000
95,Road Trip,57%,91,2000
96,Hamlet,57%,89,2000
97,Dr. T and the Women,56%,108,2000
98,Godzilla 2000,57%,69,2000
99,Groove,57%,51,2000
100,"Monsters, Inc.",96%,193,2001
101,"Crouching Tiger, Hidden Dragon",97%,153,2001
102,The Dish,96%,98,2001
103,The Lord of the Rings: The Fellowship of the Ring,91%,228,2001
104,Werckmeister Harmonies,98%,40,2001
105,With a Friend like Harry...,96%,92,2001
106,Time Out (L' Emploi du temps),96%,84,2001
107,In the Bedroom,93%,138,2001
108,I'm Going Home,96%,54,2001
109,Ghost World,92%,157,2001
110,Spy Kids,93%,127,2001
111,The Endurance,95%,65,2001
112,Lagaan: Once Upon a Time in India,95%,59,2001
113,Y Tu Mama Tambien,92%,137,2001
114,Hedwig and the Angry Inch,93%,108,2001
115,No Man's Land,93%,98,2001
116,Sous le sable (Under the Sand),94%,71,2001
117,Last Resort,94%,70,2001
118,The Devil's Backbone (El Espinazo del diablo),92%,119,2001
119,Amores Perros,92%,116,2001
120,Apocalypse Now Redux,93%,82,2001
121,Amélie,89%,178,2001
122,Shrek,88%,204,2001
123,Dogtown and Z-Boys,92%,96,2001
124,Startup.com,92%,93,2001
125,The Circle (Dayereh),93%,60,2001
126,Mostly Martha (Bella Martha),92%,85,2001
127,In the Mood for Love,90%,125,2001
128,The Gleaners and I,93%,40,2001
129,Millennium Actress (Sennen joyû),92%,52,2001
130,Iron Monkey,90%,93,2001
131,Our Song,91%,54,2001
132,Together,90%,80,2001
133,Kandahar: Le soleil derrière la lune,89%,98,2001
134,Dinner Rush,91%,45,2001
135,Eureka,91%,43,2001
136,Divided We Fall,90%,61,2001
137,The Road Home (Wo de fu qin mu qin),89%,80,2001
138,Gosford Park,86%,158,2001
139,Life And Debt,90%,42,2001
140,Donnie Darko,87%,115,2001
141,Trembling Before G-d,89%,61,2001
142,Italian for Beginners,88%,85,2001
143,Ginger Snaps,89%,57,2001
144,101 Reykjavik,89%,46,2001
145,Comment j'ai tué mon père (My Father and I),89%,44,2001
146,Roozi ke zan shodam (The Day I Became a Woman),88%,57,2001
147,Mulholland Drive,83%,173,2001
148,La Cienaga,88%,40,2001
149,The Others,83%,161,2001
150,Va Savoir,86%,77,2001
151,Calle 54,87%,47,2001
152,Nowhere in Africa (Nirgendwo in Afrika),85%,99,2001
153,Faithless,86%,70,2001
154,Ocean's Eleven,82%,172,2001
155,Harry Potter and the Sorcerer's Stone,81%,195,2001
156,The Closet (Le Placard),85%,80,2001
157,Thirteen Conversations About One Thing,83%,114,2001
158,Rain,85%,59,2001
159,Bridget Jones's Diary,81%,159,2001
160,The Man Who Wasn't There,81%,157,2001
161,The Deep End,82%,117,2001
162,L.I.E.,83%,84,2001
163,Ni na bian ji dian (What Time Is It Over There?),84%,51,2001
164,Little Otik,84%,43,2001
165,Waking Life,80%,142,2001
166,Innocence,81%,75,2001
167,Moulin Rouge!,76%,198,2001
168,The Business of Strangers,80%,92,2001
169,Diamond Men,81%,63,2001
170,Iris,79%,110,2001
171,Lumumba,81%,57,2001
172,Jump Tomorrow,81%,54,2001
173,The Pledge,78%,124,2001
174,Black Hawk Down,76%,171,2001
175,A Beautiful Mind,74%,211,2001
176,Tape,78%,98,2001
177,The Tailor of Panama,77%,116,2001
178,A.I. Artificial Intelligence,73%,192,2001
179,Our Lady of the Assassins,77%,61,2001
180,The Cat's Meow,74%,125,2001
181,Snatch,73%,141,2001
182,Joy Ride,74%,114,2001
183,Training Day,72%,158,2001
184,The Score,73%,128,2001
185,Jimmy Neutron - Boy Genius,75%,75,2001
186,Brotherhood of the Wolf,73%,120,2001
187,Buffalo Soldiers,73%,115,2001
188,Songcatcher,74%,88,2001
189,Me You Them,75%,55,2001
190,Tortilla Soup,74%,72,2001
191,Before Night Falls,73%,98,2001
192,The Piano Teacher (La Pianiste),73%,86,2001
193,Fat Girl,73%,86,2001
194,Behind the Sun,74%,46,2001
195,Made,71%,107,2001
196,Chopper,72%,67,2001
197,Baby Boy,71%,92,2001
198,Das Experiment (The Experiment),72%,65,2001
199,Legally Blonde,69%,142,2001
200,The Lord of the Rings: The Two Towers,95%,250,2002
201,Spirited Away,97%,183,2002
202,Spellbound,97%,139,2002
203,Catch Me If You Can,95%,198,2002
204,Rivers and Tides: Andy Goldsworthy Working With Time,99%,71,2002
205,The Man Without a Past,98%,98,2002
206,The Pianist,95%,181,2002
207,Bowling for Columbine,95%,169,2002
208,Read My Lips,97%,96,2002
209,Minority Report,91%,249,2002
210,About a Boy,93%,186,2002
211,Monsoon Wedding,95%,120,2002
212,Insomnia,92%,201,2002
213,Spider-Man,90%,241,2002
214,Adaptation,91%,207,2002
215,Promises,96%,47,2002
216,The Trials of Henry Kissinger,95%,58,2002
217,Open Hearts (Elsker Dig For Evigt),95%,57,2002
218,Talk to Her,92%,130,2002
219,Infernal Affairs (Mou gaan dou),94%,62,2002
220,Bloody Sunday,92%,104,2002
221,Broken Wings (Knafayim Shvurot),93%,68,2002
