,genre_ids,id,original_title,overview,popularity,release_date,title,vote_average,vote_count,release_year,release_month
0,"[16, 35, 10751]",7443,Chicken Run,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Ginger the chicken along with the help of Rocky the American rooster decide to rebel and lead their fellow chickens in a great escape from the murderous farmers Mr. and Mrs. Tweedy and their farm of doom.",13.973,2000-06-21,Chicken Run,6.6,2435,2000.0,6.0
1,[16],520758,Chicken Run 2,"A sequel to the 2000 film, ""Chicken Run.""",0.6,2020-06-12,Chicken Run 2,0.0,0,2020.0,6.0
2,[],495607,Running Around Like A Chicken With Its Head Cut Off,"Les Blank's first student film, made while at USC, starring Gail Blank, Pieter Van Deusen and Les himself. This short pays homage to Ingmar Bergman's Seventh Seal, the film that inspired Blank to become a filmmaker.",0.6,1960-01-01,Running Around Like A Chicken With Its Head Cut Off,0.0,0,1960.0,1.0
3,"[18, 35, 10749]",10697,Le Goût des autres,"Agnès Jaoui co-writes and directs this romantic comedy of manners set in France's rustic Provence. Unpolished and ultra-pragmatic industrialist Jean-Jacques Castella (co-scripter Jean-Pierre Bacri) reluctantly attends Racine's tragedy ""Berenice"" in order to see his niece play a bit part. He is taken with the play's strangely familiar-looking leading lady Clara Devaux (Anne Alvaro). During the course of the show, Castella soon remembers that he once hired and then promptly fired the actress as an English language tutor. He immediately goes out and signs up for language lessons. Thinking that he is nothing but an ill-tempered philistine with bad taste, Clara rejects him until Castella charms her off her feet.",4.855,2000-03-01,The Taste of Others,6.7,97,2000.0,3.0
4,"[99, 10751]",41276,The Life and Times of Hank Greenberg,"The story of Baseball Hall-of-Famer Hank Greenberg is told through archival film footage and interviews with Jewish and non-Jewish fans, his former teammates, his friends, and his family. As a great first baseman with the Detroit Tigers, Greenberg endured antisemitism and became a hero and source of inspiration throughout the Jewish community, not incidentally leading the Tigers to Major League dominance in the 1930s. Written by George S. Davis",0.6,2000-01-12,The Life and Times of Hank Greenberg,6.0,6,2000.0,1.0
5,"[18, 10749]",25538,一一,Each member of a family in Taipei asks hard questions about life's meaning as they live through everyday quandaries.,6.727,2000-09-20,Yi Yi,8.0,156,2000.0,9.0
6,"[28, 18, 53]",25474,Yi ngoi,"A self-styled accident choreographer, the Brain is a professional hitman who kills his victims by trapping them in well crafted accidents that look like unfortunate mishaps but are in fact perfectly staged acts of crime. When the teams next assignment goes disastrously wrong, Brain begins to suspect that someone else has planned an ‘accident’ on them.",4.186,2009-09-24,Accident,6.8,40,2009.0,9.0
7,"[27, 28]",74273,Yi mei dao gu,"Police School is haunted. Chan Sir and Tong Sir in order to drive out the ghosts, so they find out nine police, who is the dragon-year born, to practice an array. Because of arrogant of Inspector Li Lan Yuk, makes others with bad feeling. They decide to play a trick on her and have lots of joke. They know the goal of training is to seize the ghosts, they all left the training. But the camp is already controlled by the ghosts, causes they stay here to help Chan to seize the ghosts. In Lunar night, on July 14, Chan unable to seize the ghosts, Madam Lee takes out the family secrets and turns into a Taoist priestess to fight with the ghosts. At last, Lee and master drive out all the ghosts",1.868,1990-06-07,Vampire Settle On Police Camp,3.5,2,1990.0,6.0
8,"[14, 16]",337302,Yi wan nian yi hou,"Hundreds of thousands of years after the collapse of civilization, the world is a post-tech wasteland, and is inhabited by humanoid tribes. The Peace held between them is threatened by the return of Wushen, an evil shape-shifting ghost of modern technology. Wushen threatens to enslave the world population. Zhuma, a ten-year-old girl is the heroine of the story, accompanied by Zhanggong, her lion-like Tibetan Mastiff dog. Chosen, and helped by a ethereal goddess she must assemble a band of allies from the surviving tribes to fight Wushen, and stop him from gaining control over an ancient power.",1.242,2015-03-27,10000 Years Later,5.0,3,2015.0,3.0
9,[27],360609,Yi Lou Yi Gui,"The inhabitants of a decrepit inner-city tenement building are terrified to discover that the malevolent spirit of a former tenant has been summoned when one of the current residents broke an unspoken vow. Now, as demolition day draws near, the enraged entity sets out to cause as much mischief as possible before the wrecking ball strikes.",0.827,2007-01-25,House of the Invisibles,0.0,0,2007.0,1.0
10,"[28, 53, 18]",155387,Ching yi sam,"Chik (Philip Chan), Lucky (Michael Wong), Chi-to (Waise Lee), and his ex-girlfriend Ngao (Carrie Ng) who he is still sweet on but is married to Lucky now, are aiming to make a score on a deal with a Taiwan triad when things take a turn for the BLOODY because Chi-to's cousin, who arranged the deal, set them up.",1.4,1988-01-16,Fury,7.0,1,1988.0,1.0
11,[18],575089,一秒钟,A story about a movie fan in a remote farmland who strikes a relationship with a homeless female vagabond.,1.607,2019-12-31,One Second,0.0,0,2019.0,12.0
12,"[27, 80, 35]",24922,伊波拉病毒,A restaurant employee wanted for murder contracts Ebola by raping a woman in South Africa and starts an outbreak there and in Hong Kong when he returns home.,6.6,1996-06-15,Ebola Syndrome,6.4,38,1996.0,6.0
13,"[28, 12]",66758,Xiao shi yi lang,"Asian fans of Crouching Tiger Hidden Dragon recognized that its director Ang Lee was actually inspired by director Chu Yuan and novelist Ku Lung's wonderful tales of a ""martial art world"" where all wushu warriors try to attain the ""Deer Sword"" and escape from the insidious maze-like ""Toy Land."" Master kung-fu choreographer Tang Chia leads the king and queen of Shaw's swordplay, Ti Lung and Lily Li, in a fascinating and entertaining adventure of consummate swordmen and sorceresses.",1.197,1978-08-11,Swordsman and Enchantress,6.0,2,1978.0,8.0
14,"[18, 28]",261293,Wo shi yi ge zei,"When an honest company employee is falsely accused of being an accomplice to a robbery, and his wife dies through police incompetence, he seeks revenge by launching a one-man crime spree, starting with the abduction of his former boss's spoiled daughter. But she soon begins to understand his motives, and becomes his lover and willing accomplice.",1.472,1995-09-14,Legendary Couple,0.0,0,1995.0,9.0
15,[],275623,Yi Shi Hao Ming,Story of a down on their luck married couple who make a deal with a ghost to win at gambling. Only catch is that it must be spent before 7am.,1.154,1991-09-28,You Bet Your Life,7.5,1,1991.0,9.0
16,[18],65417,Yi sheng tan xi,"A Sigh tells the story of an affair between a struggling Chinese screenwriter and his young female assistant, its effects on his marriage and the impact on the man himself.",1.074,2000-01-01,A Sigh,5.7,3,2000.0,1.0
17,[28],107714,Bu yi shen xiang,"Just when audiences thought the director couldn't get more spectacular and outrageous, he unleashed this eye-filling, mind-bending ""Martial Arts World"" sequel of clan rivalries, ninja atrocities, wizard sorceries, and the mythical Silkworm style that changes our hero into a veritable Spider-swordsman. The screen practically explodes with colorful characters and kung-fu -- all directed, co-written, and co-choreographed by Lu Chun-ku, and showcasing some of the best Shaw Brothers action stars. The original Bastard Swordsman was just the beginning, this superlative cult classic that out-phantasmagoricals the original.",1.051,1984-05-08,Return of the Bastard Swordsman,5.9,5,1984.0,5.0
18,"[28, 18, 14]",64990,Yi tian tu long ji da jie ju,"The thrills continue in this second part of this cherished adventure, created by the renowned director Chu Yuan and ingenious novelist Chin Yung. Only the union of the title weapons can save the six remaining martial arts sects who are vying for mastery. So just sit back and enjoy the movie event which spawned a legacy that continues even today with a long-running, internationally loved television series, a role-playing game, and even collectible replicas of the Heaven Sword and Dragon Sabre themselves!",2.441,1978-10-27,Heaven Sword and Dragon Sabre II,6.0,3,1978.0,10.0
19,[],154736,Lung gam wai yi dzi wang mo leung leung,"Dragon Reloaded again focuses on adventures of Lung Wai (Ronald Cheng) and his buddies. The three wacky cops, while enjoying their vacation in a quiet village on an outlying island, accidentally mess up a special operation by the SDU squad, hunting down an important criminal. The village's guardian, a Goddess Statue, also gets stolen. The Police Force decides to place Lung Wai and his buddies as local police of the village, but the trio turns out creating more jokes than anything!",2.369,2005-06-30,Dragon Reloaded,0.0,0,2005.0,6.0
20,[27],409489,Yì du mí jú,"A doctor moves his family into a mansion. His wife hears weird noises at midnight, then his daughter disappears mysteriously. His detective friend begins to look into this case, only to suspect everyone in this family is somehow complicit.",0.988,2012-12-14,Singular Cay,4.3,3,2012.0,12.0
21,"[18, 28, 53]",34179,錦衣衛,"Trained in clandestine combat from childhood, the Jinyiwei were masters of the 14 Blades; eight being for torture, five for killing, and the last blade reserved for suicide when a mission failed. An elite force of secret agents with a license to kill, the Jinyiwei devoted their lives and lethal prowess to the service of the Emperor alone. When the Imperial Court is taken over by evil eunuch Jia (Law Kar Ying), the best of the Jinyiwei, Qinglong (Donnie Yen) is assigned to steal a list identifying those still loyal to the Emperor. However unbeknownst to Qinglong, the Jinyiwei have fallen under the control of Jia, and during the mission Qinglong is betrayed and barely escapes with his life. Now as the most wanted man in the land, Qinglong must seek out and rally the loyalists to rise against Jia and restore the Emperor to power. In his way are the deadliest assassins in the land, his former brethren, the Jinyiwei.",4.75,2010-02-04,14 Blades,6.5,84,2010.0,2.0
22,[],256088,Sam yuen yi ma,A film about a woman who talks about sex with a man.,0.905,1999-01-30,The Accident,5.0,1,1999.0,1.0
23,[18],126379,Ji yi wang zhe wo,"Fang comes back to her parents’ home in Nanjing, to spend some time with them. During her stay, her elder brother’s family comes for a family reunion, she receives a Yengisar knife as a gift and her sister-in-law tries to set her up on a blind date. Around her, time goes by, memories come back in the conversations, some she knows, some not. The present is mixed up with the past, and the steps towards the future may walk along the path of eternal loss.",1.126,2012-08-07,Memories Look at Me,7.0,1,2012.0,8.0
24,[35],401678,Gang du zui hou yi ge bao biao,A political satire on Hong Kong before the 1997 takeover. Two bodyguards compete to protect the governor while the governor romances the political women.,2.089,1996-10-19,Bodyguards of the Last Governor,0.0,0,1996.0,10.0
25,"[18, 10749]",14295,You Can Count on Me,"A single mother's life is thrown into turmoil after her struggling, rarely-seen younger brother returns to town.",8.289,2000-11-17,You Can Count on Me,7.0,136,2000.0,11.0
26,"[9648, 53]",77,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",13.114,2000-10-11,Memento,8.2,7509,2000.0,10.0
27,[18],504521,Zadarski memento,"The painful challenges experienced in the life of a farmer from Zadar, Croatia, in the years from World War I to World War II.",1.12,1984-05-20,Zadar's Memento,5.0,1,1984.0,5.0
28,"[14, 27, 10749]",54111,여고괴담 두번째 이야기,"In this second installment of the Whispering Corridors series, a young girl finds a strange diary, capable of arousing hallucinations, kept by two of her senior fellow-students who seem to have an unusually close bond.",3.203,1999-12-24,Memento Mori,6.2,43,1999.0,12.0
29,"[9648, 53]",417615,Memento,"A remake of the 2000 film, 'Memento', which centers on a man suffering from short-term memory loss while trying to track down his wife's killer.",0.6,,Memento,0.0,0,,
30,[18],348128,Memento,"A day before the earthquake in Skopje, Wily Muller, a German conductor, while passing through the concert meets a young girl Jana, a student from Skopje. After several years they meet again at the ""Solidarity Meetings"" event, which is held in Skopje, where Wily Muller is a conductor at a concert held on that occasion. Those several days, spent together with the conductor, for Jana mean fulfillment with a kind of reminiscence of her family tragedy experienced during Skopje's earthquake, and also a wondering and search for a way of starting life again, which stopped on the day of the earthquake. Although the possibility of going with Muller is very attractive, Jana stays in Skopje. Her place is beside the young man whom she loves and belongs to, with whom she is related with true love...",0.6,1967-01-01,Memento,5.0,1,1967.0,1.0
31,[99],346610,Memento,Experimental short film about car wreckage and automobile safety.,0.6,1968-12-31,Memento,0.0,0,1968.0,12.0
32,[53],383069,Memento,"A cop, a blind psychologist, and a mysterious murderer are embroiled in a mental game copying thriller movies. As the suspects are being killed one after another, the case seems to be heading to a dead end. When the answer seems to be knocking at the door, as the murderer finally is exposed and killed, the unexpected is standing right in front of them...",0.6,2002-11-28,Memento,7.0,2,2002.0,11.0
33,[99],438742,Memento,"A film about Jewish cemeteries in East Berlin, based on a screenplay by Günter Kunert, with text by Rabbi Martin Riesenburger. There are shots of gravestones and inscriptions – deported, murdered, perished; in Auschwitz or Theresienstadt. Commentary reminds us of the victims – ""in 1933, 160,564 Jewish citizens lived in Berlin; in 1945, 3,500"".",0.6,1966-02-16,Memento,0.0,0,1966.0,2.0
34,"[27, 9648]",517931,Memento Mori,"Memento Mori is about a girl who's stuck in a dream circle, reliving key moments of a traumatic event. What happened to her? And will she survive this nightmare before time runs out?",1.113,2018-04-07,Memento Mori,0.0,0,2018.0,4.0
35,[],381742,Мементо мори,,0.6,1991-02-08,Memento mori,0.0,0,1991.0,2.0
36,[],271038,Memento Mori,Viewed from the world of Roger Ballen. Ballen is renowned for his confronting and bleak black and white portraits of marginalised South Africans. Melle van Essen follows in Ballen’s footsteps by creating 'Living' photographs with fixed frames and strong black and white contrasts with great emphasis on composition.,0.6,2005-09-01,Memento Mori,0.0,0,2005.0,9.0
37,[27],374795,Memento Mortis,A photographer uses dead bodies as props in her erotic photos. Everything was going well until she fell in love.,0.6,2015-11-20,Memento Mortis,0.0,0,2015.0,11.0
38,"[9648, 18]",384914,Memento Mori,"The writer Charmain Colson entertains a circle of old friends. One day, when the group receive an anonymous message saying Memento Mori/Remember you must die, they all panic in fear and angst.",0.6,1975-01-05,Memento Mori,0.0,0,1975.0,1.0
39,[],369827,Memento mori,,0.6,1996-01-01,Memento mori,0.0,0,1996.0,1.0
40,"[9648, 35]",430775,Memento Mori,"After an accident, Daming can't remember what happened last night. Back home, he discovers in his closet the dead body of Gao Yan. Who killed this man hated by so many people included Daming himself?",0.6,2016-06-03,Memento Mori,6.0,1,2016.0,6.0
