,id,popularity,release_date,title,vote_average,vote_count,release_year,release_month
0,7443,13.991,2000-06-21,Chicken Run,6.6,2438,2000.0,6.0
1,520758,1.462,2020-06-12,Chicken Run 2,0.0,0,2020.0,6.0
2,495607,0.6,1960-01-01,Running Around Like A Chicken With Its Head Cut Off,0.0,0,1960.0,1.0
3,10697,5.907,2000-03-01,The Taste of Others,6.7,97,2000.0,3.0
4,41276,0.6,2000-01-12,The Life and Times of Hank Greenberg,6.0,6,2000.0,1.0
5,25538,6.59,2000-09-20,Yi Yi,8.0,156,2000.0,9.0
6,25474,3.891,2009-09-24,Accident,6.8,40,2009.0,9.0
7,337302,1.112,2015-03-27,10000 Years Later,5.0,3,2015.0,3.0
8,74273,1.569,1990-06-07,Vampire Settle On Police Camp,3.5,2,1990.0,6.0
9,64985,1.4,1981-11-26,Black Lizard,5.0,1,1981.0,11.0
10,535690,1.4,1950-01-01,A Strange Woman,0.0,0,1950.0,1.0
11,583787,1.4,2018-08-09,Yi chu hao xi,0.0,0,2018.0,8.0
12,107714,1.346,1984-05-08,Return of the Bastard Swordsman,5.9,5,1984.0,5.0
13,50718,1.304,2010-02-07,One Day,7.9,7,2010.0,2.0
14,355421,0.877,1967-03-02,Auntie Lan,0.0,0,1967.0,3.0
15,237403,1.12,1974-06-07,Iron Head,5.0,1,1974.0,6.0
16,316955,1.09,1979-01-01,Oh! What a Family,0.0,0,1979.0,1.0
17,360609,0.6,2007-01-25,House of the Invisibles,0.0,0,2007.0,1.0
18,34179,4.96,2010-02-04,14 Blades,6.5,85,2010.0,2.0
19,64990,2.388,1978-10-27,Heaven Sword and Dragon Sabre II,6.0,3,1978.0,10.0
20,465992,0.625,2011-07-15,Guo Ming Yi,5.0,1,2011.0,7.0
21,129171,2.184,2002-01-01,Fox Ghost,5.0,2,2002.0,1.0
22,24922,3.735,1996-06-15,Ebola Syndrome,6.4,38,1996.0,6.0
23,415107,0.6,1986-09-18,Hwang Jin Yi,0.0,0,1986.0,9.0
24,40896,1.429,2002-04-01,Chicken Poets,7.3,3,2002.0,4.0
25,14295,7.413,2000-11-17,You Can Count on Me,7.0,136,2000.0,11.0
26,77,14.229,2000-10-11,Memento,8.2,7520,2000.0,10.0
27,517931,1.653,2018-04-07,Memento Mori,7.0,4,2018.0,4.0
28,54111,3.682,1999-12-24,Memento Mori,6.2,43,1999.0,12.0
